rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
0.34,13401,156,10000,85,0.982132,1.28,,,
0.46,26675,320,20000,83,0.9644333333333333,1.35,,,
0.37,40059,476,30000,84,0.946588,1.3,,,
0.45,53431,635,40000,84,0.9287586666666667,1.36,,,
0.38,66788,789,50000,84,0.9109493333333334,1.3,,,
0.45,80070,942,60000,84,0.89324,1.29,,,
0.29,93266,1094,70000,85,0.8756453333333334,1.26,,,
0.55,106539,1249,80000,85,0.8579479999999999,1.33,,,
0.52,119811,1404,90000,85,0.840252,1.42,,,
0.33,133223,1558,100000,85,0.8223693333333333,1.28,,,
0.47,146639,1712,110000,85,0.8044813333333334,1.35,,,
0.4,159892,1864,120000,85,0.7868106666666668,1.31,,,
0.51,173191,2019,130000,85,0.7690786666666667,1.37,,,
0.53,186507,2176,140000,85,0.7513239999999999,1.36,,,
0.43,199761,2331,150000,85,0.733652,1.33,,,
0.36,213077,2483,160000,85,0.7158973333333334,1.29,,,
0.48,226414,2621,170000,86,0.6981146666666667,1.38,,,
0.41,239813,2758,180000,86,0.6802493333333333,1.31,,,
2.2,254226,2939,190000,86,0.6610320000000001,1.94,0.5626488327980042,1056,0.001
1.56,274213,3280,200000,83,0.6343826666666668,1.89,0.9428098201751709,6053,0.001
1.4,295186,3636,210000,81,0.6064186666666667,1.86,3.5899734497070312,11296,0.001
2.44,316794,4000,220000,79,0.5776080000000001,2.28,1.228990077972412,16698,0.001
3.22,339533,4382,230000,77,0.5472893333333333,2.48,1.4184787273406982,22383,0.001
3.63,363178,4777,240000,76,0.5157626666666666,2.59,3.9744303226470947,28294,0.001
3.23,387988,5189,250000,74,0.4826826666666668,2.46,1.1095776557922363,34496,0.001
3.98,414265,5620,260000,73,0.4476466666666665,2.75,6.475466728210449,41066,0.001
5.12,441590,6065,270000,72,0.41121333333333343,2.92,9.201757431030273,47897,0.001
3.06,471001,32259,280000,14,0.3719986666666668,2.53,3.1205523014068604,55250,0.001
6.39,502671,32807,290000,15,0.32977199999999995,3.44,9.350248336791992,63167,0.001
15.0,541768,33440,300000,16,0.2776426666666667,4.84,6.69574499130249,72941,0.001
20.93,593204,34239,310000,17,0.20906133333333332,5.24,15.160876274108887,85800,0.001
183.42,681817,38260,320000,17,0.0909106666666668,14.57,34.206451416015625,107954,0.001
764.48,963065,41913,330000,22,0,17.49,234.3383331298828,178266,0.001
